text_name	_Fach_	--	AC	ADC	AG	AMS	APP	AVC	CC	CD	CJ	CM	CP	CVC	DA	DH	DM	EP	JU	MNR	MO	NG	NK	NMC	OA	OA2	OC	OG	OP	PAR	PD	PG	PH	PM	PNC	RC	RE	RS	SB	SBP	SP	SVP	UC	VO
Lin_18	Linguistik	1468	12	0.0	745	3	56	1.0	57	831	1114	106	345	17	94	0.0	0.0	60	7	712	3005	150	8258	2.0	1038	0.0	896	7.0	211	38	382	63	8	44	135	188	83	9.0	2118	50	0.0	319	1.0	1.0
Lin_19	Linguistik	2154	89	0.0	1915	8	87	0.0	165	3407	4278	242	742	27	186	0.0	1.0	71	27	2091	9079	309	20751	16.0	2029	0.0	2515	5.0	551	60	699	477	6	453	235	582	204	0.0	3731	92	0.0	267	121.0	2.0
Lin_20	Linguistik	1222	16	0.0	727	7	52	0.0	98	621	810	95	366	3	77	0.0	0.0	70	8	900	3437	110	8474	18.0	822	0.0	715	0.0	138	40	390	138	7	130	172	220	85	2.0	1885	29	0.0	104	6.0	4.0
Lin_21	Linguistik	2154	79	0.0	2146	43	116	0.0	203	2408	3292	229	648	23	176	0.0	0.0	75	9	2026	10203	333	22382	17.0	2118	1.0	2161	3.0	470	121	661	434	8	363	311	669	183	10.0	4038	147	0.0	321	91.0	2.0
Lin_22	Linguistik	2557	80	0.0	3046	29	157	2.0	139	2373	3470	175	1033	65	320	0.0	11.0	108	31	2307	10718	510	26982	4.0	2998	2.0	2164	4.0	710	146	800	477	7	508	352	552	317	24.0	4875	201	0.0	608	28.0	1.0
Lin_23	Linguistik	3080	104	0.0	2471	11	224	3.0	217	2781	4784	288	1312	63	330	0.0	13.0	259	15	2254	14117	539	27597	44.0	3475	2.0	3631	7.0	743	179	1284	875	41	416	457	984	538	32.0	6989	217	1.0	538	160.0	2.0
Lin_24	Linguistik	1963	20	0.0	1154	9	58	0.0	122	1751	2299	145	507	7	109	0.0	1.0	40	28	1534	4887	187	14710	32.0	1605	0.0	1412	5.0	332	46	567	400	17	159	320	502	85	4.0	3251	47	0.0	271	14.0	2.0
Lin_25	Linguistik	3489	29	0.0	2487	7	176	0.0	226	2191	3904	320	785	33	204	0.0	1.0	135	10	1671	9113	444	23217	48.0	2884	3.0	2473	2.0	547	95	944	589	20	342	417	600	170	6.0	5223	88	0.0	687	39.0	1.0
Lin_26	Linguistik	1625	17	0.0	1204	11	70	9.0	112	1273	1702	121	758	17	185	0.0	0.0	132	8	851	5954	212	12219	11.0	1550	1.0	1827	2.0	324	49	555	251	15	223	319	441	244	8.0	3122	81	0.0	253	58.0	1.0
Lin_27	Linguistik	444	17	0.0	735	5	33	1.0	48	433	622	57	196	6	72	0.0	1.0	48	21	334	1953	90	4908	28.0	561	0.0	481	2.0	135	22	212	111	4	97	27	150	99	0.0	925	24	0.0	73	7.0	0.0
Lin_28	Linguistik	2690	65	0.0	1957	13	101	10.0	167	3812	5015	199	952	13	310	0.0	0.0	243	11	1707	8790	453	20552	54.0	2523	2.0	2905	9.0	577	50	770	384	27	435	98	1102	280	4.0	5046	96	0.0	289	6.0	8.0
Lin_29	Linguistik	2010	57	0.0	1238	19	84	3.0	132	1697	2704	164	597	15	125	0.0	4.0	154	15	1414	7094	279	14382	148.0	1759	2.0	1981	0.0	253	70	745	266	22	196	245	468	121	12.0	3471	53	0.0	292	14.0	0.0
Lin_30	Linguistik	937	21	0.0	470	4	31	0.0	45	502	746	67	289	1	28	0.0	0.0	36	5	315	2313	139	4856	14.0	693	0.0	855	2.0	87	21	326	55	2	56	82	147	78	5.0	1446	30	0.0	75	8.0	2.0
Lit_01	Literaturwissenschaft	1380	46	0.0	1278	3	63	1.0	85	899	1265	108	518	23	149	0.0	3.0	32	22	826	5166	271	11341	155.0	1068	0.0	1426	6.0	253	75	446	131	9	179	281	339	153	2.0	2444	78	0.0	183	58.0	2.0
Lit_02	Literaturwissenschaft	1964	61	1.0	1659	37	170	2.0	165	1434	2121	227	489	30	410	0.0	7.0	57	37	1403	7820	336	16571	23.0	2175	1.0	1666	8.0	368	115	590	193	6	402	1255	612	160	14.0	3670	176	1.0	294	55.0	0.0
Lit_03	Literaturwissenschaft	1722	61	0.0	2766	9	227	1.0	205	2448	3379	259	678	38	331	0.0	4.0	84	9	2035	9982	483	22560	51.0	2515	1.0	2024	6.0	509	123	656	322	6	377	960	1073	185	15.0	4507	120	0.0	237	36.0	0.0
Lit_04	Literaturwissenschaft	2869	55	0.0	1981	1	81	0.0	90	2561	3203	135	699	37	371	0.0	1.0	61	11	1557	6089	267	18209	3.0	2361	0.0	2061	12.0	407	45	650	365	15	318	556	558	226	7.0	4659	108	0.0	424	0.0	2.0
Lit_05	Literaturwissenschaft	2518	69	0.0	2901	12	241	4.0	232	1950	3312	290	882	90	451	0.0	7.0	158	24	1539	9455	619	22480	15.0	2986	1.0	3090	13.0	508	128	1198	280	28	577	135	932	406	26.0	5787	94	0.0	388	8.0	1.0
Lit_06	Literaturwissenschaft	3761	74	0.0	4157	14	185	3.0	208	2854	3719	264	657	57	510	0.0	2.0	44	81	2621	10018	471	32413	36.0	3683	1.0	2129	13.0	539	93	914	578	10	483	1246	1146	213	59.0	6114	261	2.0	621	333.0	2.0
Lit_07	Literaturwissenschaft	4133	99	1.0	2773	22	256	2.0	512	3528	5128	648	1946	93	1119	0.0	8.0	271	236	2237	19156	1129	28115	16.0	5644	4.0	4644	24.0	770	154	1875	228	17	1361	375	1708	794	32.0	9845	170	0.0	638	43.0	4.0
Lit_08	Literaturwissenschaft	3064	142	0.0	4791	7	90	3.0	256	3605	4340	283	1289	116	870	0.0	5.0	103	56	2441	16656	550	35359	22.0	4827	0.0	2640	19.0	787	72	860	378	18	641	106	1770	228	1.0	6760	293	0.0	563	23.0	0.0
Lit_09	Literaturwissenschaft	2313	78	2.0	2904	12	137	2.0	132	2557	3371	147	534	63	284	0.0	2.0	100	65	1946	8932	267	21358	35.0	2219	2.0	1976	8.0	370	71	735	628	3	408	584	899	206	6.0	4177	106	0.0	265	36.0	1.0
Lit_10	Literaturwissenschaft	3018	81	0.0	2291	33	182	1.0	227	1978	2984	311	564	30	390	0.0	2.0	98	125	1812	11114	333	22410	12.0	2350	1.0	2226	7.0	400	113	608	214	5	409	522	676	139	7.0	4711	213	0.0	309	17.0	1.0
Lit_11	Literaturwissenschaft	2132	78	0.0	1617	5	284	3.0	116	1697	3183	161	423	29	256	0.0	4.0	92	26	1396	6938	197	15865	6.0	2038	1.0	1319	7.0	316	128	747	288	11	274	595	587	119	20.0	3870	132	0.0	317	13.0	0.0
Lit_12	Literaturwissenschaft	2527	56	0.0	1496	19	169	6.0	191	2174	3246	238	1034	41	621	0.0	10.0	112	96	1376	9506	547	17632	41.0	3395	2.0	2845	15.0	654	102	790	182	13	647	905	894	283	10.0	5638	131	0.0	426	13.0	4.0
Lit_13	Literaturwissenschaft	3662	105	0.0	3203	59	236	1.0	251	3256	4417	327	611	46	425	0.0	4.0	124	77	3032	12871	514	32397	55.0	3354	2.0	2750	10.0	732	166	1019	616	15	549	789	1124	257	17.0	6532	185	0.0	725	33.0	2.0
Lit_14	Literaturwissenschaft	4551	137	0.0	5774	11	293	1.0	338	3992	5434	458	1177	71	687	0.0	4.0	181	212	3229	14742	669	37421	9.0	4216	1.0	3765	15.0	787	181	1232	1056	19	795	1008	1611	410	13.0	8292	300	1.0	628	154.0	1.0
Lit_15	Literaturwissenschaft	2926	67	3.0	2227	10	136	4.0	173	2765	3566	206	924	44	439	0.0	3.0	128	158	1680	10909	611	23196	5.0	3416	1.0	2683	11.0	561	100	1119	347	18	625	577	1084	416	14.0	5917	232	1.0	395	11.0	2.0
Lit_16	Literaturwissenschaft	1843	69	0.0	3069	10	127	1.0	159	3364	4137	204	740	19	302	0.0	2.0	62	78	1902	8504	616	23935	9.0	2605	1.0	2056	15.0	516	87	754	267	3	459	461	1064	232	3.0	4391	143	0.0	276	22.0	0.0
Lit_17	Literaturwissenschaft	2564	72	0.0	2154	6	142	1.0	140	2262	3211	171	1088	50	582	0.0	3.0	77	22	2110	10082	608	20928	34.0	3460	1.0	2219	13.0	561	82	872	225	4	701	322	721	324	19.0	5260	134	0.0	459	21.0	0.0
Lit_18	Literaturwissenschaft	2818	206	0.0	3477	12	80	2.0	254	3243	4103	306	994	63	338	0.0	2.0	96	29	2201	10887	488	27405	43.0	3310	0.0	2195	9.0	640	51	851	419	16	425	340	1105	194	11.0	5708	127	0.0	402	49.0	4.0
Lit_19	Literaturwissenschaft	3492	83	1.0	4363	35	329	2.0	210	3333	4775	241	879	52	396	0.0	3.0	168	16	3410	11178	510	31840	50.0	2966	2.0	2317	16.0	801	161	929	505	13	665	2816	629	343	11.0	5470	148	0.0	442	585.0	2.0
Lit_20	Literaturwissenschaft	1043	37	0.0	1122	4	76	0.0	51	961	1429	83	288	20	148	0.0	1.0	32	38	619	3482	144	8429	18.0	1177	2.0	765	6.0	184	30	287	131	7	185	161	344	72	1.0	1873	98	0.0	162	7.0	0.0
Lit_21	Literaturwissenschaft	2732	30	1.0	1975	14	85	1.0	69	1283	1793	123	300	34	165	1.0	1.0	66	9	1264	6007	260	17849	75.0	1504	0.0	2063	16.0	485	71	580	123	27	189	372	607	125	10.0	4113	109	0.0	251	14.0	2.0
Lit_22	Literaturwissenschaft	3046	166	0.0	4463	8	146	8.0	394	3163	4133	399	2523	143	1394	0.0	6.0	167	390	2916	23113	1156	36210	52.0	5829	1.0	5320	42.0	971	114	1547	372	11	900	279	2165	750	28.0	9742	315	0.0	594	21.0	2.0
Lit_23	Literaturwissenschaft	2180	152	1.0	3869	8	70	1.0	247	1950	2401	271	910	52	410	0.0	7.0	35	10	2051	9758	275	24747	52.0	2337	2.0	1999	6.0	382	69	552	344	4	249	333	762	147	8.0	4414	158	1.0	357	4.0	3.0
Lit_24	Literaturwissenschaft	2436	59	0.0	1875	19	63	1.0	96	1760	2240	107	475	38	410	0.0	0.0	58	31	1353	6827	405	16820	37.0	2172	1.0	1337	11.0	373	27	543	231	5	315	846	561	166	3.0	3720	94	0.0	435	0.0	1.0
Lit_25	Literaturwissenschaft	3240	127	0.0	4055	10	130	1.0	251	2082	2676	265	903	37	689	0.0	4.0	131	81	1897	10588	432	26383	33.0	3244	0.0	2555	28.0	522	85	973	317	3	621	430	982	460	12.0	5863	209	0.0	349	46.0	2.0
Lit_26	Literaturwissenschaft	2647	64	3.0	2200	11	127	1.0	157	1755	2521	218	785	11	331	0.0	0.0	174	109	2066	9891	325	21741	33.0	2451	0.0	1755	6.0	481	83	985	277	10	265	437	674	277	16.0	4936	99	1.0	314	14.0	1.0
Lit_27	Literaturwissenschaft	2272	71	0.0	4182	3	71	1.0	100	1770	2581	120	634	26	280	0.0	2.0	73	3	2546	10780	210	30108	76.0	2802	0.0	2126	16.0	486	78	608	482	3	459	465	1272	167	8.0	4742	154	0.0	392	8.0	2.0
Lit_28	Literaturwissenschaft	2286	47	3.0	1672	7	100	4.0	140	1852	2444	183	391	10	144	0.0	0.0	38	63	1148	5723	237	15818	4.0	1896	0.0	1704	4.0	312	41	566	203	2	234	273	448	132	8.0	3538	63	0.0	204	3.0	2.0
Lit_29	Literaturwissenschaft	1850	77	1.0	2517	5	193	4.0	239	3034	4155	290	647	24	394	0.0	0.0	116	115	1342	9730	542	19735	16.0	2004	2.0	1607	14.0	296	92	920	487	4	410	87	670	223	10.0	3802	145	0.0	271	9.0	1.0
Lit_30	Literaturwissenschaft	1998	77	0.0	1491	3	121	0.0	148	2320	3160	206	823	93	353	0.0	2.0	121	27	1461	8331	400	18111	45.0	2943	0.0	2188	4.0	571	74	617	291	49	310	530	1067	206	5.0	5011	133	0.0	396	10.0	3.0
